year,fullname,count
1970,Mid-year population, age 0 years, by sex,31000.0
2002,Mid-year population, age 0 years, by sex,36951.0
2003,Mid-year population, age 0 years, by sex,37569.0
2004,Mid-year population, age 0 years, by sex,37745.0
2005,Mid-year population, age 0 years, by sex,38253.0
2006,Mid-year population, age 0 years, by sex,38000.0
2007,Mid-year population, age 0 years, by sex,37693.0
2008,Mid-year population, age 0 years, by sex,37315.0
2009,Mid-year population, age 0 years, by sex,37101.0
2010,Mid-year population, age 0 years, by sex,37409.0
2011,Mid-year population, age 0 years, by sex,38036.0
2012,Mid-year population, age 0 years, by sex,37550.0
2013,Mid-year population, age 0 years, by sex,37696.0
2014,Mid-year population, age 0 years, by sex,38641.0
2015,Mid-year population, age 0 years, by sex,39741.0
2016,Mid-year population, age 0 years, by sex,41131.0
2017,Mid-year population, age 0 years, by sex,42210.0
2018,Mid-year population, age 0 years, by sex,41713.0
2019,Mid-year population, age 0 years, by sex,40798.0
2020,Mid-year population, age 0 years, by sex,40369.0
1981,Mid-year population, age 0 years, by sex,76600.0
1982,Mid-year population, age 0 years, by sex,77500.0
1983,Mid-year population, age 0 years, by sex,81000.0
1984,Mid-year population, age 0 years, by sex,83183.0
1985,Mid-year population, age 0 years, by sex,86000.0
1986,Mid-year population, age 0 years, by sex,87900.0
1987,Mid-year population, age 0 years, by sex,87500.0
1988,Mid-year population, age 0 years, by sex,86600.0
1989,Mid-year population, age 0 years, by sex,86800.0
1990,Mid-year population, age 0 years, by sex,87700.0
1991,Mid-year population, age 0 years, by sex,91200.0
1992,Mid-year population, age 0 years, by sex,90600.0
1993,Mid-year population, age 0 years, by sex,84500.0
1994,Mid-year population, age 0 years, by sex,78400.0
1995,Mid-year population, age 0 years, by sex,71200.0
1996,Mid-year population, age 0 years, by sex,67300.0
1997,Mid-year population, age 0 years, by sex,67700.0
1998,Mid-year population, age 0 years, by sex,71300.0
1999,Mid-year population, age 0 years, by sex,72100.0
2000,Mid-year population, age 0 years, by sex,54550.0
2001,Mid-year population, age 0 years, by sex,52650.0
2002,Mid-year population, age 0 years, by sex,50950.0
2003,Mid-year population, age 0 years, by sex,51600.0
2004,Mid-year population, age 0 years, by sex,56400.0
2005,Mid-year population, age 0 years, by sex,63150.0
2007,Mid-year population, age 0 years, by sex,69350.0
1950,Mid-year population, age 0 years, by sex,68800.0
1951,Mid-year population, age 0 years, by sex,67700.0
1952,Mid-year population, age 0 years, by sex,67800.0
1953,Mid-year population, age 0 years, by sex,68700.0
1954,Mid-year population, age 0 years, by sex,69800.0
1955,Mid-year population, age 0 years, by sex,71000.0
1956,Mid-year population, age 0 years, by sex,71600.0
1957,Mid-year population, age 0 years, by sex,72300.0
1958,Mid-year population, age 0 years, by sex,73600.0
1959,Mid-year population, age 0 years, by sex,75600.0
1960,Mid-year population, age 0 years, by sex,75800.0
1961,Mid-year population, age 0 years, by sex,75100.0
1962,Mid-year population, age 0 years, by sex,75000.0
1963,Mid-year population, age 0 years, by sex,75300.0
1964,Mid-year population, age 0 years, by sex,76900.0
1965,Mid-year population, age 0 years, by sex,76200.0
1966,Mid-year population, age 0 years, by sex,73800.0
1967,Mid-year population, age 0 years, by sex,71500.0
1968,Mid-year population, age 0 years, by sex,69400.0
1969,Mid-year population, age 0 years, by sex,68300.0
1970,Mid-year population, age 0 years, by sex,67900.0
1971,Mid-year population, age 0 years, by sex,67700.0
1972,Mid-year population, age 0 years, by sex,66200.0
1973,Mid-year population, age 0 years, by sex,63800.0
1974,Mid-year population, age 0 years, by sex,62700.0
1975,Mid-year population, age 0 years, by sex,58400.0
1976,Mid-year population, age 0 years, by sex,57900.0
1977,Mid-year population, age 0 years, by sex,58400.0
1978,Mid-year population, age 0 years, by sex,58700.0
1979,Mid-year population, age 0 years, by sex,58900.0
1980,Mid-year population, age 0 years, by sex,59000.0
1981,Mid-year population, age 0 years, by sex,59800.0
1982,Mid-year population, age 0 years, by sex,58900.0
1983,Mid-year population, age 0 years, by sex,58300.0
1984,Mid-year population, age 0 years, by sex,58300.0
1985,Mid-year population, age 0 years, by sex,55400.0
1986,Mid-year population, age 0 years, by sex,56000.0
1987,Mid-year population, age 0 years, by sex,56300.0
1988,Mid-year population, age 0 years, by sex,57200.0
1989,Mid-year population, age 0 years, by sex,58300.0
1990,Mid-year population, age 0 years, by sex,59600.0
1991,Mid-year population, age 0 years, by sex,60800.0
1992,Mid-year population, age 0 years, by sex,61000.0
1993,Mid-year population, age 0 years, by sex,59700.0
1994,Mid-year population, age 0 years, by sex,57300.0
1995,Mid-year population, age 0 years, by sex,56000.0
1996,Mid-year population, age 0 years, by sex,56314.0
1997,Mid-year population, age 0 years, by sex,56672.0
1998,Mid-year population, age 0 years, by sex,55923.5
1999,Mid-year population, age 0 years, by sex,55434.0
2000,Mid-year population, age 0 years, by sex,55676.0
2001,Mid-year population, age 0 years, by sex,55715.0
2002,Mid-year population, age 0 years, by sex,54844.0
2003,Mid-year population, age 0 years, by sex,54589.5
2004,Mid-year population, age 0 years, by sex,55638.0
2005,Mid-year population, age 0 years, by sex,56981.0
2006,Mid-year population, age 0 years, by sex,58627.0
2007,Mid-year population, age 0 years, by sex,59389.0
2008,Mid-year population, age 0 years, by sex,60399.0
2009,Mid-year population, age 0 years, by sex,61782.0
2010,Mid-year population, age 0 years, by sex,61909.0
2011,Mid-year population, age 0 years, by sex,63694.0
2012,Mid-year population, age 0 years, by sex,62924.0
2013,Mid-year population, age 0 years, by sex,61736.0
2014,Mid-year population, age 0 years, by sex,61105.0
2015,Mid-year population, age 0 years, by sex,60029.0
2016,Mid-year population, age 0 years, by sex,59978.0
2017,Mid-year population, age 0 years, by sex,58958.0
2018,Mid-year population, age 0 years, by sex,58204.0
2019,Mid-year population, age 0 years, by sex,57849.0
2020,Mid-year population, age 0 years, by sex,56767.0
1950,Mid-year population, age 0 years, by sex,80600.0
1951,Mid-year population, age 0 years, by sex,66600.0
1952,Mid-year population, age 0 years, by sex,67800.0
1953,Mid-year population, age 0 years, by sex,68600.0
1954,Mid-year population, age 0 years, by sex,66800.0
1955,Mid-year population, age 0 years, by sex,68000.0
1956,Mid-year population, age 0 years, by sex,66900.0
1957,Mid-year population, age 0 years, by sex,67100.0
1958,Mid-year population, age 0 years, by sex,65500.0
1959,Mid-year population, age 0 years, by sex,64700.0
1960,Mid-year population, age 0 years, by sex,65100.0
1961,Mid-year population, age 0 years, by sex,65400.0
1962,Mid-year population, age 0 years, by sex,64300.0
1963,Mid-year population, age 0 years, by sex,63100.0
1964,Mid-year population, age 0 years, by sex,62300.0
1965,Mid-year population, age 0 years, by sex,62700.0
1966,Mid-year population, age 0 years, by sex,60700.0
1967,Mid-year population, age 0 years, by sex,58700.0
1968,Mid-year population, age 0 years, by sex,63300.0
1969,Mid-year population, age 0 years, by sex,67800.0
1970,Mid-year population, age 0 years, by sex,67000.0
1971,Mid-year population, age 0 years, by sex,64200.0
1972,Mid-year population, age 0 years, by sex,62100.0
1973,Mid-year population, age 0 years, by sex,66500.0
1974,Mid-year population, age 0 years, by sex,71000.0
1975,Mid-year population, age 0 years, by sex,68600.0
1976,Mid-year population, age 0 years, by sex,69100.0
1977,Mid-year population, age 0 years, by sex,68600.0
1978,Mid-year population, age 0 years, by sex,65100.0
1979,Mid-year population, age 0 years, by sex,65600.0
1980,Mid-year population, age 0 years, by sex,62700.0
1981,Mid-year population, age 0 years, by sex,60100.0
1982,Mid-year population, age 0 years, by sex,59300.0
1983,Mid-year population, age 0 years, by sex,57900.0
1984,Mid-year population, age 0 years, by sex,56800.0
1985,Mid-year population, age 0 years, by sex,52200.0
1986,Mid-year population, age 0 years, by sex,58100.0
1987,Mid-year population, age 0 years, by sex,61300.0
1988,Mid-year population, age 0 years, by sex,55900.0
1989,Mid-year population, age 0 years, by sex,55400.0
1990,Mid-year population, age 0 years, by sex,52300.0
1991,Mid-year population, age 0 years, by sex,48100.0
1992,Mid-year population, age 0 years, by sex,43500.0
1993,Mid-year population, age 0 years, by sex,41400.0
1994,Mid-year population, age 0 years, by sex,39400.0
1995,Mid-year population, age 0 years, by sex,36500.0
1996,Mid-year population, age 0 years, by sex,34500.0
1997,Mid-year population, age 0 years, by sex,32400.0
1998,Mid-year population, age 0 years, by sex,30900.0
1999,Mid-year population, age 0 years, by sex,33100.0
2000,Mid-year population, age 0 years, by sex,34656.0
2001,Mid-year population, age 0 years, by sex,32390.0
2002,Mid-year population, age 0 years, by sex,31788.0
2003,Mid-year population, age 0 years, by sex,31500.0
2004,Mid-year population, age 0 years, by sex,32229.0
2005,Mid-year population, age 0 years, by sex,33018.0
2006,Mid-year population, age 0 years, by sex,33745.0
2007,Mid-year population, age 0 years, by sex,34417.0
2008,Mid-year population, age 0 years, by sex,35279.0
2009,Mid-year population, age 0 years, by sex,36700.0
2010,Mid-year population, age 0 years, by sex,36046.0
2011,Mid-year population, age 0 years, by sex,33323.5
2012,Mid-year population, age 0 years, by sex,31989.5
2013,Mid-year population, age 0 years, by sex,31815.0
2014,Mid-year population, age 0 years, by sex,32196.5
2015,Mid-year population, age 0 years, by sex,32202.5
2016,Mid-year population, age 0 years, by sex,31603.0
2017,Mid-year population, age 0 years, by sex,31289.0
2018,Mid-year population, age 0 years, by sex,30530.0
2019,Mid-year population, age 0 years, by sex,29957.0
1985,Mid-year population, age 0 years, by sex,34400.0
1986,Mid-year population, age 0 years, by sex,33800.0
1987,Mid-year population, age 0 years, by sex,33500.0
1988,Mid-year population, age 0 years, by sex,33500.0
1989,Mid-year population, age 0 years, by sex,32000.0
1990,Mid-year population, age 0 years, by sex,32000.0
1991,Mid-year population, age 0 years, by sex,31100.0
2010,Mid-year population, age 0 years, by sex,16190.0
2011,Mid-year population, age 0 years, by sex,16177.0
2012,Mid-year population, age 0 years, by sex,17299.0
2014,Mid-year population, age 0 years, by sex,17259.0
2016,Mid-year population, age 0 years, by sex,15995.0
1981,Mid-year population, age 0 years, by sex,76300.0
1982,Mid-year population, age 0 years, by sex,77500.0
1983,Mid-year population, age 0 years, by sex,79800.0
1984,Mid-year population, age 0 years, by sex,79980.0
1985,Mid-year population, age 0 years, by sex,81200.0
1986,Mid-year population, age 0 years, by sex,81900.0
1987,Mid-year population, age 0 years, by sex,80500.0
1988,Mid-year population, age 0 years, by sex,78500.0
1989,Mid-year population, age 0 years, by sex,76600.0
1990,Mid-year population, age 0 years, by sex,71700.0
1991,Mid-year population, age 0 years, by sex,63300.0
1992,Mid-year population, age 0 years, by sex,62100.0
1993,Mid-year population, age 0 years, by sex,56600.0
1994,Mid-year population, age 0 years, by sex,55000.0
1995,Mid-year population, age 0 years, by sex,50800.0
1996,Mid-year population, age 0 years, by sex,47100.0
1997,Mid-year population, age 0 years, by sex,44700.0
1998,Mid-year population, age 0 years, by sex,43800.0
1999,Mid-year population, age 0 years, by sex,44600.0
2000,Mid-year population, age 0 years, by sex,44972.0
2001,Mid-year population, age 0 years, by sex,44628.0
2002,Mid-year population, age 0 years, by sex,43447.0
2003,Mid-year population, age 0 years, by sex,42779.0
2004,Mid-year population, age 0 years, by sex,42884.0
2005,Mid-year population, age 0 years, by sex,43469.0
2006,Mid-year population, age 0 years, by sex,45262.0
2007,Mid-year population, age 0 years, by sex,48357.0
2008,Mid-year population, age 0 years, by sex,51088.0
2009,Mid-year population, age 0 years, by sex,52452.0
2010,Mid-year population, age 0 years, by sex,52478.0
2011,Mid-year population, age 0 years, by sex,52537.0
2012,Mid-year population, age 0 years, by sex,54631.0
2013,Mid-year population, age 0 years, by sex,56815.0
2014,Mid-year population, age 0 years, by sex,57312.0
2015,Mid-year population, age 0 years, by sex,57567.0
2018,Mid-year population, age 0 years, by sex,48024.0
1950,Mid-year population, age 0 years, by sex,37200.0
1951,Mid-year population, age 0 years, by sex,39800.0
1952,Mid-year population, age 0 years, by sex,39700.0
1953,Mid-year population, age 0 years, by sex,40300.0
1954,Mid-year population, age 0 years, by sex,40700.0
1955,Mid-year population, age 0 years, by sex,41400.0
1956,Mid-year population, age 0 years, by sex,42300.0
1957,Mid-year population, age 0 years, by sex,43700.0
1958,Mid-year population, age 0 years, by sex,44500.0
1959,Mid-year population, age 0 years, by sex,44700.0
1960,Mid-year population, age 0 years, by sex,45300.0
1961,Mid-year population, age 0 years, by sex,46800.0
1962,Mid-year population, age 0 years, by sex,48800.0
1963,Mid-year population, age 0 years, by sex,51000.0
1964,Mid-year population, age 0 years, by sex,53000.0
1965,Mid-year population, age 0 years, by sex,53700.0
1966,Mid-year population, age 0 years, by sex,52900.0
1967,Mid-year population, age 0 years, by sex,51600.0
1968,Mid-year population, age 0 years, by sex,50200.0
1969,Mid-year population, age 0 years, by sex,48600.0
1970,Mid-year population, age 0 years, by sex,47100.0
1971,Mid-year population, age 0 years, by sex,46400.0
1972,Mid-year population, age 0 years, by sex,44800.0
1973,Mid-year population, age 0 years, by sex,42300.0
1974,Mid-year population, age 0 years, by sex,40400.0
1975,Mid-year population, age 0 years, by sex,38000.0
1976,Mid-year population, age 0 years, by sex,36000.0
1977,Mid-year population, age 0 years, by sex,35200.0
1978,Mid-year population, age 0 years, by sex,34600.0
1979,Mid-year population, age 0 years, by sex,34400.0
1980,Mid-year population, age 0 years, by sex,35200.0
1981,Mid-year population, age 0 years, by sex,35700.0
1982,Mid-year population, age 0 years, by sex,36100.0
1983,Mid-year population, age 0 years, by sex,36200.0
1984,Mid-year population, age 0 years, by sex,35900.0
1985,Mid-year population, age 0 years, by sex,36200.0
1986,Mid-year population, age 0 years, by sex,36800.0
1987,Mid-year population, age 0 years, by sex,37200.0
1988,Mid-year population, age 0 years, by sex,37900.0
1989,Mid-year population, age 0 years, by sex,39100.0
1990,Mid-year population, age 0 years, by sex,40000.0
1991,Mid-year population, age 0 years, by sex,41500.0
1992,Mid-year population, age 0 years, by sex,41700.0
1993,Mid-year population, age 0 years, by sex,41200.0
1994,Mid-year population, age 0 years, by sex,40200.0
1995,Mid-year population, age 0 years, by sex,39900.0
1996,Mid-year population, age 0 years, by sex,40000.0
1997,Mid-year population, age 0 years, by sex,39500.0
1998,Mid-year population, age 0 years, by sex,38503.0
1999,Mid-year population, age 0 years, by sex,37968.0
2000,Mid-year population, age 0 years, by sex,37775.0
2001,Mid-year population, age 0 years, by sex,36604.0
2002,Mid-year population, age 0 years, by sex,34869.0
2003,Mid-year population, age 0 years, by sex,34838.0
2004,Mid-year population, age 0 years, by sex,35194.0
2005,Mid-year population, age 0 years, by sex,35391.0
2006,Mid-year population, age 0 years, by sex,35329.0
2007,Mid-year population, age 0 years, by sex,35816.0
2008,Mid-year population, age 0 years, by sex,36565.0
2009,Mid-year population, age 0 years, by sex,37292.0
2010,Mid-year population, age 0 years, by sex,38296.0
2011,Mid-year population, age 0 years, by sex,38042.5
2012,Mid-year population, age 0 years, by sex,38245.5
2013,Mid-year population, age 0 years, by sex,38992.0
2015,Mid-year population, age 0 years, by sex,40941.0
2016,Mid-year population, age 0 years, by sex,41661.0
2017,Mid-year population, age 0 years, by sex,41886.0
2018,Mid-year population, age 0 years, by sex,41844.0
2019,Mid-year population, age 0 years, by sex,41633.0
1964,Mid-year population, age 0 years, by sex,7700.0
1965,Mid-year population, age 0 years, by sex,7800.0
1966,Mid-year population, age 0 years, by sex,7400.0
1967,Mid-year population, age 0 years, by sex,7300.0
1968,Mid-year population, age 0 years, by sex,7400.0
1969,Mid-year population, age 0 years, by sex,7800.0
1970,Mid-year population, age 0 years, by sex,6400.0
1974,Mid-year population, age 0 years, by sex,5400.0
1999,Mid-year population, age 0 years, by sex,4367.0
2000,Mid-year population, age 0 years, by sex,4220.0
2001,Mid-year population, age 0 years, by sex,4096.0
2002,Mid-year population, age 0 years, by sex,3765.0
2003,Mid-year population, age 0 years, by sex,3865.0
2004,Mid-year population, age 0 years, by sex,4030.0
2005,Mid-year population, age 0 years, by sex,4096.0
2006,Mid-year population, age 0 years, by sex,4175.0
2007,Mid-year population, age 0 years, by sex,4243.0
2008,Mid-year population, age 0 years, by sex,4405.0
2009,Mid-year population, age 0 years, by sex,4692.0
2010,Mid-year population, age 0 years, by sex,4836.0
2011,Mid-year population, age 0 years, by sex,4717.0
2012,Mid-year population, age 0 years, by sex,4832.0
2013,Mid-year population, age 0 years, by sex,4578.0
2014,Mid-year population, age 0 years, by sex,4426.0
2015,Mid-year population, age 0 years, by sex,4321.0
2016,Mid-year population, age 0 years, by sex,4553.0
2017,Mid-year population, age 0 years, by sex,4491.0
2018,Mid-year population, age 0 years, by sex,4532.0
1985,Mid-year population, age 0 years, by sex,65600.0
1986,Mid-year population, age 0 years, by sex,64300.0
1987,Mid-year population, age 0 years, by sex,63700.0
1988,Mid-year population, age 0 years, by sex,63700.0
1989,Mid-year population, age 0 years, by sex,63300.0
1990,Mid-year population, age 0 years, by sex,62700.0
1991,Mid-year population, age 0 years, by sex,62300.0
1992,Mid-year population, age 0 years, by sex,60500.0
1993,Mid-year population, age 0 years, by sex,58600.0
1994,Mid-year population, age 0 years, by sex,55100.0
1995,Mid-year population, age 0 years, by sex,49000.0
1996,Mid-year population, age 0 years, by sex,45100.0
1997,Mid-year population, age 0 years, by sex,43900.0
1998,Mid-year population, age 0 years, by sex,43900.0
1999,Mid-year population, age 0 years, by sex,43663.0
2000,Mid-year population, age 0 years, by sex,43620.0
2001,Mid-year population, age 0 years, by sex,43636.0
2002,Mid-year population, age 0 years, by sex,44592.0
2003,Mid-year population, age 0 years, by sex,45361.0
2004,Mid-year population, age 0 years, by sex,46479.0
2005,Mid-year population, age 0 years, by sex,48639.0
2006,Mid-year population, age 0 years, by sex,50579.0
2007,Mid-year population, age 0 years, by sex,53631.0
2008,Mid-year population, age 0 years, by sex,57317.0
2009,Mid-year population, age 0 years, by sex,58314.0
2010,Mid-year population, age 0 years, by sex,57624.0
2011,Mid-year population, age 0 years, by sex,55470.0
2012,Mid-year population, age 0 years, by sex,53028.0
2013,Mid-year population, age 0 years, by sex,52611.0
2014,Mid-year population, age 0 years, by sex,52799.0
2015,Mid-year population, age 0 years, by sex,53729.0
2016,Mid-year population, age 0 years, by sex,54377.0
2017,Mid-year population, age 0 years, by sex,55227.0
2018,Mid-year population, age 0 years, by sex,55681.0
2019,Mid-year population, age 0 years, by sex,55139.0
2020,Mid-year population, age 0 years, by sex,54222.0
1990,Mid-year population, age 0 years, by sex,429200.0
1991,Mid-year population, age 0 years, by sex,423400.0
1992,Mid-year population, age 0 years, by sex,400400.0
1993,Mid-year population, age 0 years, by sex,392300.0
1994,Mid-year population, age 0 years, by sex,381300.0
1995,Mid-year population, age 0 years, by sex,373400.0
1996,Mid-year population, age 0 years, by sex,379900.0
1997,Mid-year population, age 0 years, by sex,391500.0
1998,Mid-year population, age 0 years, by sex,388400.0
1999,Mid-year population, age 0 years, by sex,378300.0
2000,Mid-year population, age 0 years, by sex,374059.0
2001,Mid-year population, age 0 years, by sex,365447.0
2002,Mid-year population, age 0 years, by sex,353662.0
2003,Mid-year population, age 0 years, by sex,346874.0
2004,Mid-year population, age 0 years, by sex,343633.0
2005,Mid-year population, age 0 years, by sex,338768.0
2006,Mid-year population, age 0 years, by sex,330671.0
2007,Mid-year population, age 0 years, by sex,330289.0
2008,Mid-year population, age 0 years, by sex,333241.0
2009,Mid-year population, age 0 years, by sex,328428.0
2010,Mid-year population, age 0 years, by sex,327370.0
2011,Mid-year population, age 0 years, by sex,326894.0
2012,Mid-year population, age 0 years, by sex,325720.0
2013,Mid-year population, age 0 years, by sex,330479.0
2014,Mid-year population, age 0 years, by sex,340699.0
2015,Mid-year population, age 0 years, by sex,355513.0
2016,Mid-year population, age 0 years, by sex,373453.0
2017,Mid-year population, age 0 years, by sex,383620.0
2018,Mid-year population, age 0 years, by sex,382201.0
2019,Mid-year population, age 0 years, by sex,379603.0
2020,Mid-year population, age 0 years, by sex,375679.0
1950,Mid-year population, age 0 years, by sex,38300.0
1951,Mid-year population, age 0 years, by sex,38100.0
1952,Mid-year population, age 0 years, by sex,36800.0
1953,Mid-year population, age 0 years, by sex,37700.0
1954,Mid-year population, age 0 years, by sex,37400.0
1955,Mid-year population, age 0 years, by sex,36900.0
1956,Mid-year population, age 0 years, by sex,36400.0
1957,Mid-year population, age 0 years, by sex,36700.0
1958,Mid-year population, age 0 years, by sex,36400.0
1959,Mid-year population, age 0 years, by sex,36000.0
1960,Mid-year population, age 0 years, by sex,36200.0
1961,Mid-year population, age 0 years, by sex,36800.0
1962,Mid-year population, age 0 years, by sex,37700.0
1963,Mid-year population, age 0 years, by sex,38800.0
